date_created,text,favorite_count,retweet_count,,,,
12/6/2014 15:20,"#PreguntasRevolucionarias Por qu‚ en los otros pa¡ses del Alba no hay escasez , bachaqueros, Cadivi, magnicidios ni inseguridad?",0,15,,,,
12/6/2014 15:20,"#PreguntasRevolucionarias Por qu‚ en los otros pa¡ses del Alba no hay escasez , bachaqueros, Cadivi, magnicidios ni inseguridad?",0,15,,,,
12/6/2014 15:20,"#PreguntasRevolucionarias Por qu‚ en los otros pa¡ses del Alba no hay escasez , bachaqueros, Cadivi, magnicidios ni inseguridad?",0,15,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de  @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/8/2014 20:51,Bodega M¢vil de @PdvalEnTachira con 4Mil500Kg de Alimentos benefici¢ a 200 Familias. @VielmaEsTachira pic.twitter.com/fZpxGRRqBH,0,13,,,,
12/9/2014 18:44,"Y al final del d¡a , resulta dif¡cil levantar una epopeya con tantos fracasos y un pa¡s azotado por la inflaci¢n y la escasez .",29,252,,,,
12/9/2014 18:44,"Y al final del d¡a , resulta dif¡cil levantar una epopeya con tantos fracasos y un pa¡s azotado por la inflaci¢n y la escasez .",29,252,,,,
12/9/2014 18:44,"Y al final del d¡a , resulta dif¡cil levantar una epopeya con tantos fracasos y un pa¡s azotado por la inflaci¢n y la escasez .",29,252,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 19:26,Abastecimiento en C.A PICHINCHA de @mercal_cojedes garantizando el acceso a los alimentos de los cojede¤os pic.twitter.com/5DtO3Kc6WL,1,19,,,,
12/9/2014 22:31,"#concluDDHH sanciones es contra funcionarios. NO contra el pueblo. El pueblo q SOBREVIVE a la inseguridad al hambre , enfermedad ETC",0,8,,,,
12/10/2014 20:15,LOS ANCIANOS DE VENEZUELA ESTAN MURIENDO DE HAMBRE Y ENFERMEDADES PORQUE PENSION NO ALCANZA #pensionados #jubilados,0,9,,,,
12/10/2014 20:15,LOS ANCIANOS DE VENEZUELA ESTAN MURIENDO DE HAMBRE Y ENFERMEDADES PORQUE PENSION NO ALCANZA #pensionados #jubilados,0,9,,,,
12/10/2014 20:48,"Lamentable y cruel dilema de pensionados, o compran alimentos o medicinas.Cualquiera d las opciones pone en peligro sus vidas #pensionados",0,19,,,,
